Title,Reference Disc,Standout Disc,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X,Release Date,Studio
"Batman v Superman: Dawn of Justice – Ultimate Edition (Remastered)",true,false,true,false,false,false,false,true,false,3/23/21,Warner Bros. Home Entertainment
"Batman v Superman: Dawn of Justice – Ultimate Edition",false,true,true,false,false,false,false,true,false,7/19/16,Warner Bros. Home Entertainment
"Batman vs Teenage Mutant Ninja Turtles",false,false,false,false,false,false,false,false,false,6/4/19,Warner Bros. Home Entertainment
"Batman, The",false,false,true,false,false,false,false,true,false,TBA 2022,Warner Bros. Home Entertainment
"Batman: Assault on Arkham",false,false,false,false,false,false,false,false,false,9/11/18,Warner Bros. Home Entertainment
"Batman: Gotham by Gaslight",false,false,false,false,false,false,false,false,false,2/6/18,Warner Bros. Home Entertainment
"Batman: Soul of the Dragon",false,false,true,false,false,false,false,false,false,1/26/21,Warner Bros. Home Entertainment
"Batman: The Killing Joke",false,false,false,false,false,false,false,false,false,9/11/18,Warner Bros. Home Entertainment
"Batman: The Long Halloween, Parts One and Two",false,false,false,false,false,false,false,false,false,TBA 2022,Warner Bros. Home Entertainment
"Batman: Year One – Commemorative Edition",false,false,true,false,false,false,false,false,false,11/9/21,Warner Bros. Home Entertainment
"Battle Royale: Limited Edition (UK only)",true,false,true,true,false,false,false,false,false,4/26/2021,Arrow Video
"Battleship",false,true,false,false,false,false,false,false,true,1/17/17,Universal Studios Home Entertainment
"Baywatch: Extended Cut",false,false,false,false,false,false,false,true,false,8/29/17,Paramount Pictures Home Entertainment
"Beastmaster, The (1982) (Regular Edition)",false,false,true,false,false,false,false,false,false,7/27/21,Vinegar Syndrome
"Beastmaster, The (1982): Limited Edition",false,false,true,false,false,false,false,false,false,11/27/20,Vinegar Syndrome
"Beauty and the Beast (1991)",false,false,false,false,false,false,false,true,false,3/10/2020,Walt Disney Studios Home Entertainment (also Fox see above)
"Beauty and the Beast (2017)",false,false,false,false,false,false,false,true,false,3/10/2020,Walt Disney Studios Home Entertainment (also Fox see above)
"Beetlejuice",false,true,true,false,false,false,false,true,false,9/1/20,Warner Bros. Home Entertainment
"Beetlejuice: Giftset (Amazon exclusive)",false,false,false,false,false,false,false,false,false,9/1/20,Warner Bros. Home Entertainment
"Beverly Hills Cop 3-Movie Collection",false,false,true,false,false,false,false,false,false,12/17/19,Paramount Pictures Home Entertainment
